"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.441256826E1,1.231066119E1,7.664445665E1,7.653018927E2,6.772221680E2,7.650000095E0,8.300000191E0,2.170457720E-1,3.790092468E0,3.476424217E0,2.800000000E1
5.541352055E1,1.231071279E1,7.664446790E1,7.653307322E2,6.772512207E2,6.130000114E0,6.000000000E0,2.241751731E-1,3.790092468E0,3.491908789E0,2.700000000E1
5.641343446E1,1.231077577E1,7.664448020E1,7.654148222E2,6.773355713E2,7.500000000E0,8.000000000E0,2.312166818E-1,3.790092468E0,3.169840097E0,3.100000000E1
5.741399545E1,1.231083824E1,7.664449082E1,7.645055060E2,6.764265137E2,7.739999771E0,6.800000191E0,2.382340094E-1,3.790092468E0,3.076408625E0,3.200000000E1
5.841488920E1,1.231090107E1,7.664449688E1,7.645557822E2,6.764770508E2,7.280000210E0,7.300000191E0,2.456466038E-1,3.790092468E0,3.007713318E0,3.400000000E1
5.940679394E1,1.231096624E1,7.664451124E1,7.640920119E2,6.760135498E2,6.840000153E0,7.900000095E0,2.525831321E-1,3.790092468E0,2.802187681E0,3.400000000E1
6.041239118E1,1.231102701E1,7.664452566E1,7.629474738E2,6.748692627E2,6.780000210E0,8.000000000E0,2.596782065E-1,3.790092468E0,2.804226160E0,3.400000000E1
6.141649409E1,1.231108783E1,7.664454541E1,7.625357245E2,6.744577637E2,7.039999962E0,1.620000076E1,2.682271673E-1,3.790092468E0,2.808198929E0,3.400000000E1
6.240773378E1,1.231116378E1,7.664455763E1,7.620222263E2,6.739445801E2,8.000000000E0,7.699999809E0,2.771334483E-1,3.790092468E0,2.795090199E0,3.300000000E1
6.340377690E1,1.231124176E1,7.664457635E1,7.620148242E2,6.739375000E2,9.359999657E0,1.289999962E1,2.873692339E-1,3.790092468E0,2.750416994E0,3.300000000E1
