"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.150728170E1,1.231677135E1,7.664537293E1,7.520393852E2,6.639849854E2,2.009999990E0,3.477999878E2,2.859135462E-1,1.227457619E1,6.218205929E0,1.700000000E1
6.250430920E1,1.231678609E1,7.664539207E1,7.513895465E2,6.633352051E2,2.039999962E0,3.475000000E2,2.879814905E-1,1.486883831E1,6.360795498E0,1.800000000E1
6.349831399E1,1.231679735E1,7.664540722E1,7.502015137E2,6.621472168E2,1.919999957E0,3.471000061E2,2.902951857E-1,1.582063484E1,6.597371578E0,1.800000000E1
6.451052258E1,1.231681371E1,7.664542038E1,7.495879221E2,6.615336914E2,2.099999905E0,3.466000061E2,2.933496755E-1,1.551503849E1,6.676441669E0,1.800000000E1
6.551510138E1,1.231683559E1,7.664543738E1,7.489590494E2,6.609049072E2,2.359999895E0,3.460000000E2,2.970199166E-1,1.548038387E1,6.635554314E0,1.500000000E1
6.651248268E1,1.231686408E1,7.664545444E1,7.488428444E2,6.607888184E2,2.769999981E0,3.452999878E2,3.027174968E-1,1.488355255E1,6.351286888E0,1.500000000E1
6.749811201E1,1.231691425E1,7.664546510E1,7.486397560E2,6.605859375E2,3.579999924E0,3.447000122E2,3.065602508E-1,1.347615337E1,6.092545986E0,1.600000000E1
6.851643492E1,1.231694798E1,7.664547280E1,7.476313158E2,6.595776367E2,3.420000076E0,3.442000122E2,3.111859488E-1,1.296273041E1,5.951162815E0,1.600000000E1
6.951035044E1,1.231698212E1,7.664549713E1,7.464639410E2,6.584104004E2,3.640000105E0,3.437000122E2,3.155995620E-1,1.274676323E1,5.821232319E0,1.700000000E1
7.051512773E1,1.231701822E1,7.664551402E1,7.473866447E2,6.593332520E2,3.690000057E0,3.432999878E2,3.160993330E-1,1.260654163E1,5.608539581E0,1.700000000E1
7.150875935E1,1.231701936E1,7.664551847E1,7.459757519E2,6.579223633E2,1.059999943E0,3.428999939E2,3.173393352E-1,1.151790047E1,5.506675243E0,1.800000000E1
7.251125815E1,1.231702511E1,7.664552825E1,7.468827119E2,6.588293457E2,1.100000024E0,3.425000000E2,3.184185915E-1,1.128196049E1,5.482138157E0,2.000000000E1
7.351066690E1,1.231702922E1,7.664553725E1,7.472059384E2,6.591525879E2,7.500000000E-1,3.421000061E2,3.194156233E-1,1.096295834E1,5.525329590E0,2.000000000E1
7.451002737E1,1.231703818E1,7.664553690E1,7.485884693E2,6.605351562E2,5.799999833E-1,3.416000061E2,3.224886528E-1,1.066315174E1,5.508779526E0,2.300000000E1
7.550847039E1,1.231706539E1,7.664553195E1,7.497974615E2,6.617442627E2,1.830000043E0,3.410000000E2,3.260433429E-1,1.050898457E1,5.471428871E0,2.500000000E1
7.650391148E1,1.231709572E1,7.664552161E1,7.494622505E2,6.614091797E2,2.519999981E0,3.403999939E2,3.300109197E-1,1.043824482E1,5.520312786E0,2.800000000E1
7.751123252E1,1.231713088E1,7.664551539E1,7.498351498E2,6.617822266E2,2.819999933E0,3.397999878E2,3.350449016E-1,1.059766674E1,5.696887016E0,2.800000000E1
7.851906575E1,1.231717615E1,7.664551499E1,7.512724610E2,6.632197266E2,3.220000029E0,3.392999878E2,3.395453179E-1,1.079619312E1,5.729419231E0,2.800000000E1
7.952185810E1,1.231721653E1,7.664551780E1,7.517312774E2,6.636787109E2,3.250000000E0,3.387000122E2,3.440936593E-1,1.116560364E1,5.790355682E0,2.900000000E1
8.050539393E1,1.231725687E1,7.664552473E1,7.517755439E2,6.637231445E2,3.430000067E0,3.382000122E2,3.485628720E-1,1.170674133E1,5.764874935E0,2.900000000E1
8.151593674E1,1.231729672E1,7.664553009E1,7.526757692E2,6.646235352E2,3.549999952E0,3.375000000E2,3.534214035E-1,1.241603470E1,5.769099712E0,2.600000000E1
